id,__latitude,__longitude,Sequence Cluster,Sequence Cluster__colour,Sequence Type,Serotype,Benzylpenicillin MIC (ug/mL),Ceftriaxone MIC (ug/mL),Trimethoprim MIC (ug/mL),Erythromycin MIC (ug/mL),Tetracycline MIC (ug/mL),Chloramphenicol MIC (ug/mL),Year of Isolation,Year of Isolation__shape,Community of Isolation,Host Age (months),Sequence Reads Accession,Genome Annotation Accession,samples,tetracycline,tetM
R34-3197,42.4072107,-71.3824374,8,#B0EDA8,199,19A,0.12,<=0.25,<=0.25,<=0.06,<=0.50,2,2004,square,B,36-84,ERR069696,CNRD02000001-CNRD02000164,CNRD01000000,0,0
R34-3218,42.4072107,-71.3824374,8,#B0EDA8,199,19A,0.12,<=0.25,<=0.25,<=0.06,<=0.50,2,2004,square,B,36-84,ERR069717,CIDX02000001-CIDX02000166,CIDX01000000,0,0
95344,42.4072107,-71.3824374,8,#B0EDA8,199,7C,<0.03,<0.03,0.12/2,<0.03,0.12,,2001,circle,B,Jun-24,ERR069758,CHXD02000001-CHXD02000176,CHXD01000000,0,0
276430,42.4072107,-71.3824374,9,#A5C4D9,SLV42,18C,<0.03,<0.03,<0.06/,<0.03,<0.06,,2001,circle,I,36-84,ERR069807,CNUF02000001-CNUF02000133,CNUF01000000,0,0
154389,42.4072107,-71.3824374,9,#A5C4D9,436,23A,<0.03,<0.03,0.12/2,<0.03,0.25,,2001,circle,N,Jun-24,ERR069780,CIIJ02000001-CIIJ02000130,CIIJ01000000,0,0
354557,42.4072107,-71.3824374,9,#A5C4D9,436,23A,<0.03,<0.03,0.12/2,0.06,0.25,,2001,circle,N,36-84,ERR069826,CNVQ02000001-CNVQ02000141,CNVQ01000000,0,0
R34-3050,42.4072107,-71.3824374,9,#A5C4D9,SLV1949,23A,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,<=1.00,2004,square,J,36-84,ERR065306,CNNW02000001-CNNW02000134,CNNW01000000,0,0
R34-3051,42.4072107,-71.3824374,9,#A5C4D9,438,23A,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,<=1.00,2004,square,G,Jun-24,ERR065307,CNNX02000001-CNNX02000132,CNNX01000000,0,0
R34-3055,42.4072107,-71.3824374,9,#A5C4D9,1839,23A,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,<=1.00,2004,square,F,Jun-24,ERR065311,CNOB02000001-CNOB02000116,CNOB01000000,0,0
R34-3057,42.4072107,-71.3824374,9,#A5C4D9,438,23A,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,<=1.00,2004,square,G,Jun-24,ERR065313,CNOC02000001-CNOC02000132,CNOC01000000,0,0
R34-3067,42.4072107,-71.3824374,9,#A5C4D9,1839,23A,1,<=0.25,>2.00,<=0.06,<=0.50,<=1.00,2004,square,F,24-36,ERR065322,CNOM02000001-CNOM02000120,CNOM01000000,0,0
R34-3127,42.4072107,-71.3824374,9,#A5C4D9,1839,23A,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,<=1.00,2004,square,G,36-84,ERR068027,CNWX02000001-CNWX02000135,CNWX01000000,0,0
R34-3174,42.4072107,-71.3824374,9,#A5C4D9,1839,23A,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,<=1.00,2004,square,M,36-84,ERR067973,CNQG02000001-CNQG02000122,CNQG01000000,0,0
R34-3177,42.4072107,-71.3824374,9,#A5C4D9,42,23A,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,<=1.00,2004,square,F,Jun-24,ERR067976,CNQI02000001-CNQI02000133,CNQI01000000,0,0
248734,42.4072107,-71.3824374,9,#A5C4D9,439,23B,<0.03,<0.03,0.25/4,<0.03,0.25,,2001,circle,D,Jun-24,ERR069802,CNUZ02000001-CNUZ02000132,CNUZ01000000,0,0
R34-3019,42.4072107,-71.3824374,9,#A5C4D9,439,23B,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,2,2004,square,I,36-84,ERR065345,CNPB02000001-CNPB02000176,CNPB01000000,0,0
R34-3020,42.4072107,-71.3824374,9,#A5C4D9,439,23B,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,2,2004,square,I,36-84,ERR065346,CNOS02000001-CNOS02000156,CNOS01000000,0,0
R34-3022,42.4072107,-71.3824374,9,#A5C4D9,1847,23B,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,2,2004,square,I,36-84,ERR065348,CNOU02000001-CNOU02000171,CNOU01000000,0,0
R34-3114,42.4072107,-71.3824374,9,#A5C4D9,439,23B,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,2,2004,square,L,36-84,ERR068015,CIKP02000001-CIKP02000140,CIKP01000000,0,0
R34-3169,42.4072107,-71.3824374,9,#A5C4D9,439,23B,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,2,2004,square,L,36-84,ERR067967,CHBH02000001-CHBH02000154,CHBH01000000,0,0
R34-3195,42.4072107,-71.3824374,9,#A5C4D9,439,23B,<=0.03,<=0.25,<=0.25,>0.50,<=0.50,2,2004,square,C,24-36,ERR069694,CNRC02000001-CNRC02000153,CNRC01000000,0,0
49470,42.4072107,-71.3824374,9,#A5C4D9,629,23F,0.06,0.12,Jan-19,<0.03,0.25,,2001,circle,M,24-36,ERR069743,CNSG02000001-CNSG02000138,CNSG01000000,0,0
151684,42.4072107,-71.3824374,9,#A5C4D9,33,23F,<0.03,<0.03,Jan-19,>1,0.25,,2001,circle,L,36-84,ERR069777,CNUI02000001-CNUI02000134,CNUI01000000,0,0
203692,42.4072107,-71.3824374,9,#A5C4D9,36,23F,<0.03,<0.03,,<0.03,0.12,,2001,circle,O,24-36,ERR069790,CNTX02000001-CNTX02000130,CNTX01000000,0,0
239434,42.4072107,-71.3824374,9,#A5C4D9,36,23F,<0.03,<0.03,0.12/2,<0.03,<0.06,,2001,circle,B,36-84,ERR069800,CFLL02000001-CFLL02000125,CFLL01000000,0,0
365502,42.4072107,-71.3824374,9,#A5C4D9,439,23F,>4,>2,0.25/4,<0.03,0.25,,2001,circle,J,Jun-24,ERR069830,CHBM02000001-CHBM02000160,CHBM01000000,0,0
427937,42.4072107,-71.3824374,9,#A5C4D9,627,23F,>4,>2,>4/76,,0.12,,2001,circle,E,24-36,ERR065955,CNPX02000001-CNPX02000151,CNPX01000000,0,0
462956,42.4072107,-71.3824374,9,#A5C4D9,36,23F,0.12,0.06,Apr-76,<0.03,0.12,,2001,circle,H,36-84,ERR065966,CNPO02000001-CNPO02000210,CNPO01000000,0,0
R34-3013,42.4072107,-71.3824374,9,#A5C4D9,1908,23F,1,0.5,>2.00,<=0.06,<=0.50,<=1.00,2004,square,D,36-84,ERR065339,CNOW02000001-CNOW02000132,CNOW01000000,0,0
R34-3029,42.4072107,-71.3824374,9,#A5C4D9,36,23F,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,2,2004,square,C,36-84,ERR065355,CNOZ02000001-CNOZ02000109,CNOZ01000000,0,0
R34-3076,42.4072107,-71.3824374,9,#A5C4D9,36,23F,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,2,2004,square,F,24-36,ERR065331,CNOQ02000001-CNOQ02000102,CNOQ01000000,0,0
R34-3181,42.4072107,-71.3824374,9,#A5C4D9,1909,23F,<=0.03,<=0.25,>2.00,<=0.06,<=0.50,2,2004,square,H,36-84,ERR067980,CNQP02000001-CNQP02000144,CNQP01000000,0,0
93209,42.4072107,-71.3824374,10,#FA8500,1379,6C,<0.03,<0.03,0.25/4,<0.03,0.25,,2001,circle,J,36-84,ERR069757,CNTL02000001-CNTL02000120,CNTL01000000,0,0
119571,42.4072107,-71.3824374,10,#FA8500,1390,6C,<0.03,<0.03,0.25/4,<0.03,0.25,,2001,circle,I,36-84,ERR069766,CNTA02000001-CNTA02000137,CNTA01000000,0,0
291880,42.4072107,-71.3824374,10,#FA8500,1390,6C,<0.03,<0.03,0.25/4,<0.03,0.25,,2001,circle,K,36-84,ERR069811,CNUO02000001-CNUO02000165,CNUO01000000,0,0
R34-3041,42.4072107,-71.3824374,10,#FA8500,1390,6C,<=0.03,<=0.25,2,<=0.06,<=0.50,2,2004,square,J,36-84,ERR065298,CNNM02000001-CNNM02000151,CNNM01000000,0,0
R34-3060,42.4072107,-71.3824374,10,#FA8500,1379,6C,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,2,2004,square,G,<6,ERR065316,CNOF02000001-CNOF02000144,CNOF01000000,0,0
R34-3072,42.4072107,-71.3824374,10,#FA8500,1390,6C,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,2,2004,square,F,36-84,ERR065327,CNOO02000001-CNOO02000138,CNOO01000000,0,0
R34-3089,42.4072107,-71.3824374,10,#FA8500,1390,6C,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,2,2004,square,M,36-84,ERR067994,CNVY02000001-CNVY02000202,CNVY01000000,0,0
R34-3092,42.4072107,-71.3824374,10,#FA8500,1390,6C,<=0.03,<=0.25,1,<=0.06,<=0.50,2,2004,square,D,Jun-24,ERR067997,CNWB02000001-CNWB02000152,CNWB01000000,0,0
R34-3125,42.4072107,-71.3824374,10,#FA8500,1390,6C,<=0.03,<=0.25,2,<=0.06,<=0.50,2,2004,square,G,Jun-24,ERR068025,CNWP02000001-CNWP02000180,CNWP01000000,0,0
R34-3053,42.4072107,-71.3824374,10,#FA8500,1379,NT,<=0.03,<=0.25,<=0.25,>0.50,<=0.50,4,2004,square,P,Jun-24,ERR065309,CNNZ02000001-CNNZ02000133,CNNZ01000000,0,0
7649,42.4072107,-71.3824374,11,#B89C7D,558,35B,2,0.5,0.25/4,>1,0.25,,2001,circle,J,36-84,ERR069733,CNSZ02000001-CNSZ02000102,CNSZ01000000,0,0
67094,42.4072107,-71.3824374,11,#B89C7D,558,35B,2,1,0.25/4,<0.03,0.25,,2001,circle,F,Jun-24,ERR069749,CNSL02000001-CNSL02000116,CNSL01000000,0,0
379678,42.4072107,-71.3824374,11,#B89C7D,558,35B,4,1,>4/76,,0.5,,2001,circle,K,36-84,ERR069834,CNUX02000001-CNUX02000158,CNUX01000000,0,0
R34-3025,42.4072107,-71.3824374,11,#B89C7D,558,35B,1,0.5,0.5,<=0.06,<=0.50,2,2004,square,M,Jun-24,ERR065351,CNPL02000001-CNPL02000147,CNPL01000000,0,0
R34-3044,42.4072107,-71.3824374,11,#B89C7D,558,35B,1,1,<=0.25,<=0.06,<=0.50,2,2004,square,F,24-36,ERR065300,CNNL02000001-CNNL02000120,CNNL01000000,0,0
R34-3069,42.4072107,-71.3824374,11,#B89C7D,558,35B,0.06,0.5,>2.00,<=0.06,<=0.50,2,2004,square,F,Jun-24,ERR065324,CNOL02000001-CNOL02000127,CNOL01000000,0,0
R34-3074,42.4072107,-71.3824374,11,#B89C7D,558,35B,0.06,0.5,<=0.25,<=0.06,<=0.50,2,2004,square,F,Jun-24,ERR065329,CNOV02000001-CNOV02000167,CNOV01000000,0,0
R34-3083,42.4072107,-71.3824374,11,#B89C7D,558,35B,2,1,<=0.25,<=0.06,<=0.50,2,2004,square,D,36-84,ERR067988,CNWN02000001-CNWN02000132,CNWN01000000,0,0
R34-3087,42.4072107,-71.3824374,11,#B89C7D,558,35B,1,0.5,<=0.25,<=0.06,<=0.50,2,2004,square,M,36-84,ERR067992,CNVX02000001-CNVX02000118,CNVX01000000,0,0
R34-3097,42.4072107,-71.3824374,11,#B89C7D,558,35B,2,0.5,<=0.25,<=0.06,<=0.50,2,2004,square,H,36-84,ERR068002,CNWG02000001-CNWG02000226,CNWG01000000,0,0
R34-3119,42.4072107,-71.3824374,11,#B89C7D,558,35B,1,0.5,2,<=0.06,<=0.50,2,2004,square,L,Jun-24,ERR068019,CNWT02000001-CNWT02000111,CNWT01000000,0,0
R34-3131,42.4072107,-71.3824374,11,#B89C7D,558,35B,2,1,<=0.25,<=0.06,<=0.50,2,2004,square,G,Jun-24,ERR068029,CNXA02000001-CNXA02000127,CNXA01000000,0,0
R34-3139,42.4072107,-71.3824374,11,#B89C7D,558,35B,2,1,<=0.25,<=0.06,<=0.50,2,2004,square,L,36-84,ERR068033,CNXR02000001-CNXR02000163,CNXR01000000,0,0
R34-3164,42.4072107,-71.3824374,11,#B89C7D,1947,35B,2,1,<=0.25,<=0.06,<=0.50,2,2004,square,B,<6,ERR067962,CNQO02000001-CNQO02000143,CNQO01000000,0,0
R34-3165,42.4072107,-71.3824374,11,#B89C7D,558,35B,2,1,<=0.25,>0.50,<=0.50,2,2004,square,B,<6,ERR067963,CNQN02000001-CNQN02000116,CNQN01000000,0,0
R34-3172,42.4072107,-71.3824374,11,#B89C7D,3632,35B,2,1,<=0.25,>0.50,>4.00,2,2004,square,E,Jun-24,ERR067970,CNQC02000001-CNQC02000182,CNQC01000000,1,1
R34-3204,42.4072107,-71.3824374,11,#B89C7D,558,35B,2,1,<=0.25,<=0.06,<=0.50,2,2004,square,L,36-84,ERR069703,CNQS02000001-CNQS02000159,CNQS01000000,0,0
R34-3227,42.4072107,-71.3824374,11,#B89C7D,558,35B,2,1,<=0.25,<=0.06,<=0.50,2,2004,square,M,<6,ERR069726,CNRW02000001-CNRW02000170,CNRW01000000,0,0
R34-3229,42.4072107,-71.3824374,11,#B89C7D,558,35B,2,1,<=0.25,<=0.06,<=0.50,2,2004,square,M,Jun-24,ERR069728,CNRY02000001-CNRY02000138,CNRY01000000,0,0
403790,42.4072107,-71.3824374,12,#DEAFDC,1054,NT,<0.03,<0.03,0.5/9.,1,0.12,,2001,circle,P,36-84,ERR069841,CNVO02000001-CNVO02000197,CNVO01000000,0,0
462746,42.4072107,-71.3824374,12,#DEAFDC,448,NT,<0.03,<0.03,0.12/2,>1,0.25,,2001,circle,E,36-84,ERR065965,CNPK02000001-CNPK02000180,CNPK01000000,0,0
508907,42.4072107,-71.3824374,12,#DEAFDC,448,NT,<0.03,<0.03,0.25/4,<0.03,0.25,,2001,circle,O,24-36,ERR065974,CNPU02000001-CNPU02000205,CNPU01000000,0,0
R34-3015,42.4072107,-71.3824374,12,#DEAFDC,448,NT,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,2,2004,square,D,Jun-24,ERR065341,CNPF02000001-CNPF02000171,CNPF01000000,0,0
R34-3032,42.4072107,-71.3824374,12,#DEAFDC,448,NT,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,2,2004,square,C,36-84,ERR065289,CFQL02000001-CFQL02000166,CFQL01000000,0,0
R34-3039,42.4072107,-71.3824374,12,#DEAFDC,448,NT,0.12,<=0.25,<=0.25,<=0.06,<=0.50,2,2004,square,C,36-84,ERR065296,CNNO02000001-CNNO02000165,CNNO01000000,0,0
15445,42.4072107,-71.3824374,13,#9E2E9A,1876,6A,0.5,0.25,0.25/4,>1,0.25,,2001,circle,A,36-84,ERR069734,CNTB02000001-CNTB02000210,CNTB01000000,0,0
42861,42.4072107,-71.3824374,13,#9E2E9A,SLV1911,6A,0.12,0.06,0.25/4,<0.03,0.5,,2001,circle,P,36-84,ERR069741,CNSE02000001-CNSE02000269,CNSE01000000,0,0
101058,42.4072107,-71.3824374,13,#9E2E9A,690,6A,0.06,0.06,0.12/2,<0.03,0.25,,2001,circle,K,36-84,ERR069759,CHBL02000001-CHBL02000162,CHBL01000000,0,0
166637,42.4072107,-71.3824374,13,#9E2E9A,473,6A,0.5,0.25,0.25/4,>1,0.5,,2001,circle,E,Jun-24,ERR069784,CNTU02000001-CNTU02000140,CNTU01000000,0,0
181272,42.4072107,-71.3824374,13,#9E2E9A,1876,6A,0.5,0.25,0.25/4,>1,0.5,,2001,circle,K,Jun-24,ERR069788,CNTW02000001-CNTW02000159,CNTW01000000,0,0
359370,42.4072107,-71.3824374,13,#9E2E9A,1876,6A,0.5,0.25,0.25/4,>1,0.25,,2001,circle,L,36-84,ERR069827,CNVT02000001-CNVT02000171,CNVT01000000,0,0
420881,42.4072107,-71.3824374,13,#9E2E9A,1940,6A,0.25,0.25,0.25/4,>1,0.25,,2001,circle,L,36-84,ERR065953,CIDS02000001-CIDS02000271,CIDS01000000,0,0
R34-3027,42.4072107,-71.3824374,13,#9E2E9A,473,6A,0.12,<=0.25,<=0.25,>0.50,>4.00,2,2004,square,M,36-84,ERR065353,CNPD02000001-CNPD02000178,CNPD01000000,1,0
R34-3096,42.4072107,-71.3824374,13,#9E2E9A,1928,6A,0.25,<=0.25,<=0.25,>0.50,<=0.50,2,2004,square,H,Jun-24,ERR068001,CNWF02000001-CNWF02000192,CNWF01000000,0,0
R34-3099,42.4072107,-71.3824374,13,#9E2E9A,1927,6A,0.25,<=0.25,<=0.25,>0.50,<=0.50,2,2004,square,H,Jun-24,ERR068004,CFIP02000001-CFIP02000154,CFIP01000000,0,0
R34-3151,42.4072107,-71.3824374,13,#9E2E9A,1876,6A,0.25,<=0.25,<=0.25,>0.50,<=0.50,2,2004,square,B,Jun-24,ERR068043,CNXG02000001-CNXG02000253,CNXG01000000,0,0
R34-3180,42.4072107,-71.3824374,13,#9E2E9A,690,6A,0.12,<=0.25,<=0.25,<=0.06,<=0.50,2,2004,square,H,36-84,ERR067979,CNQL02000001-CNQL02000260,CNQL01000000,0,0
R34-3210,42.4072107,-71.3824374,13,#9E2E9A,1876,6A,0.5,<=0.25,<=0.25,>0.50,<=0.50,2,2004,square,L,Jun-24,ERR069709,CHIO02000001-CHIO02000157,CHIO01000000,0,0
R34-3211,42.4072107,-71.3824374,13,#9E2E9A,1876,6A,0.25,<=0.25,<=0.25,>0.50,<=0.50,2,2004,square,L,Jun-24,ERR069710,CNSA02000001-CNSA02000196,CNSA01000000,0,0
R34-3100,42.4072107,-71.3824374,13,#9E2E9A,690,6B,0.12,<=0.25,<=0.25,<=0.06,<=0.50,2,2004,square,H,Jun-24,ERR068005,CHWV02000001-CHWV02000159,CHWV01000000,0,0
51715,42.4072107,-71.3824374,14,#F59AC3,376,6A,4,1,>4/76,>1,0.25,,2001,circle,P,Jun-24,ERR069744,CNSO02000001-CNSO02000158,CNSO01000000,0,0
65435,42.4072107,-71.3824374,14,#F59AC3,376,6A,4,0.25,>4/76,>1,0.25,,2001,circle,O,Jun-24,ERR069747,CNSN02000001-CNSN02000162,CNSN01000000,0,0
108480,42.4072107,-71.3824374,14,#F59AC3,376,6A,2,0.25,>4/76,>1,0.25,,2001,circle,L,Jun-24,ERR069763,CNSR02000001-CNSR02000161,CNSR01000000,0,0
179743,42.4072107,-71.3824374,14,#F59AC3,376,6A,2,0.5,>4/76,>1,0.25,,2001,circle,L,Jun-24,ERR069787,CNTV02000001-CNTV02000163,CNTV01000000,0,0
342672,42.4072107,-71.3824374,14,#F59AC3,1922,6A,1,0.25,Apr-76,<0.03,0.12,,2001,circle,G,Jun-24,ERR069825,CNVS02000001-CNVS02000175,CNVS01000000,0,0
448643,42.4072107,-71.3824374,14,#F59AC3,376,6A,2,0.5,>4/76,>1,0.25,,2001,circle,P,36-84,ERR065963,CNPN02000001-CNPN02000186,CNPN01000000,0,0
R34-3168,42.4072107,-71.3824374,14,#F59AC3,376,6A,2,0.5,>2.00,>0.50,<=0.50,2,2004,square,K,Jun-24,ERR067966,CNQT02000001-CNQT02000231,CNQT01000000,0,0
R34-3171,42.4072107,-71.3824374,14,#F59AC3,376,6A,1,0.5,>2.00,>0.50,<=0.50,2,2004,square,K,24-36,ERR067969,CNQE02000001-CNQE02000256,CNQE01000000,0,0
R34-3201,42.4072107,-71.3824374,14,#F59AC3,1921,6A,4,2,>2.00,>0.50,<=0.50,2,2004,square,G,Jun-24,ERR069700,CNQW02000001-CNQW02000360,CNQW01000000,0,0
R34-3221,42.4072107,-71.3824374,15,#9DA674,320,19A,>4.00,>2.00,>2.00,>0.50,>4.00,2,2004,square,I,36-84,ERR069720,CNRR02000001-CNRR02000170,CNRR01000000,1,1
105542,42.4072107,-71.3824374,15,#9DA674,1945,19F,2,1,>4/76,<0.03,0.12,,2001,circle,P,36-84,ERR069762,CFQW02000001-CFQW02000161,CFQW01000000,0,1
208866,42.4072107,-71.3824374,15,#9DA674,236,19F,2,0.5,>4/76,0.25,>8,,2001,circle,C,Jun-24,ERR069791,CNUA02000001-CNUA02000163,CNUA01000000,1,1
209930,42.4072107,-71.3824374,15,#9DA674,236,19F,2,1,>4/76,>1,>8,,2001,circle,C,24-36,ERR069793,CNUB02000001-CNUB02000179,CNUB01000000,1,1
404463,42.4072107,-71.3824374,15,#9DA674,236,19F,4,1,>4/76,>1,>8,,2001,circle,C,24-36,ERR069842,CHBN02000001-CHBN02000173,CHBN01000000,1,1
416185,42.4072107,-71.3824374,15,#9DA674,320,19F,4,2,>4/76,>1,>8,,2001,circle,E,Jun-24,ERR069843,CNVP02000001-CNVP02000227,CNVP01000000,1,1
503574,42.4072107,-71.3824374,15,#9DA674,320,19F,>4,2,>4/76,>1,>8,,2001,circle,L,Jun-24,ERR065973,CNPT02000001-CNPT02000162,CNPT01000000,1,1
R34-3058,42.4072107,-71.3824374,15,#9DA674,236,19F,2,0.5,>2.00,>0.50,>4.00,2,2004,square,G,Jun-24,ERR065314,CNOD02000001-CNOD02000172,CNOD01000000,1,1
R34-3085,42.4072107,-71.3824374,15,#9DA674,271,19F,4,>2.00,>2.00,>0.50,>4.00,2,2004,square,M,36-84,ERR067990,CHBQ02000001-CHBQ02000269,CHBQ01000000,1,1
R34-3094,42.4072107,-71.3824374,15,#9DA674,236,19F,2,1,1,>0.50,>4.00,2,2004,square,H,Jun-24,ERR067999,CHBR02000001-CHBR02000162,CHBR01000000,1,1
R34-3098,42.4072107,-71.3824374,15,#9DA674,1941,19F,1,<=0.25,>2.00,>0.50,>4.00,2,2004,square,H,Jun-24,ERR068003,CNWH02000001-CNWH02000166,CNWH01000000,1,1
R34-3141,42.4072107,-71.3824374,15,#9DA674,271,19F,4,1,>2.00,>0.50,>4.00,2,2004,square,L,24-36,ERR068035,CNXS02000001-CNXS02000299,CNXS01000000,1,1
R34-3142,42.4072107,-71.3824374,15,#9DA674,271,19F,4,1,>2.00,>0.50,>4.00,4,2004,square,L,Jun-24,ERR068036,CFRK02000001-CFRK02000305,CFRK01000000,1,1
R34-3200,42.4072107,-71.3824374,15,#9DA674,236,19F,2,1,1,>0.50,>4.00,2,2004,square,B,Jun-24,ERR069699,CHBG02000001-CHBG02000149,CHBG01000000,1,1
R34-3207,42.4072107,-71.3824374,15,#9DA674,1943,19F,2,1,0.5,>0.50,>4.00,2,2004,square,J,Jun-24,ERR069706,CHWU02000001-CHWU02000166,CHWU01000000,1,1
65645,42.4072107,-71.3824374,16,#505050,180,3,<0.03,<0.03,0.25/4,<0.03,0.12,,2001,circle,A,36-84,ERR069748,CNSP02000001-CNSP02000120,CNSP01000000,0,0
72511,42.4072107,-71.3824374,16,#505050,180,3,<0.03,<0.03,<0.06/,<0.03,0.25,,2001,circle,I,36-84,ERR069750,CNSV02000001-CNSV02000124,CNSV01000000,0,0
369820,42.4072107,-71.3824374,16,#505050,180,3,<0.03,<0.03,0.12/2,0.06,0.5,,2001,circle,F,24-36,ERR069832,CNVG02000001-CNVG02000119,CNVG01000000,0,0
R34-3078,42.4072107,-71.3824374,16,#505050,180,3,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,<=1.00,2004,square,D,Jun-24,ERR067983,CNVW02000001-CNVW02000124,CNVW01000000,0,0
R34-3084,42.4072107,-71.3824374,16,#505050,180,3,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,<=1.00,2004,square,M,24-36,ERR067989,CFLM02000001-CFLM02000251,CFLM01000000,0,0
R34-3101,42.4072107,-71.3824374,16,#505050,180,3,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,<=1.00,2004,square,I,Jun-24,ERR068006,CNWU02000001-CNWU02000122,CNWU01000000,0,0
R34-3190,42.4072107,-71.3824374,16,#505050,180,3,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,2,2004,square,F,36-84,ERR069689,CNRJ02000001-CNRJ02000110,CNRJ01000000,0,0
R34-3202,42.4072107,-71.3824374,16,#505050,180,3,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,<=1.00,2004,square,L,Jun-24,ERR069701,CNRH02000001-CNRH02000134,CNRH01000000,0,0
R34-3217,42.4072107,-71.3824374,16,#505050,180,3,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,<=1.00,2004,square,G,24-36,ERR069716,CNRP02000001-CNRP02000117,CNRP01000000,0,0
142534,42.4072107,-71.3824374,16,#505050,124,14,<0.03,<0.03,0.25/4,<0.03,0.25,,2001,circle,E,36-84,ERR069772,CNTO02000001-CNTO02000185,CNTO01000000,0,0
268660,42.4072107,-71.3824374,16,#505050,124,14,<0.03,<0.03,0.25/4,0.06,0.25,,2001,circle,E,36-84,ERR069806,CNVB02000001-CNVB02000174,CNVB01000000,0,0
306435,42.4072107,-71.3824374,16,#505050,124,14,<0.03,<0.03,0.25/4,<0.03,0.12,,2001,circle,L,36-84,ERR069816,CNUV02000001-CNUV02000182,CNUV01000000,0,0
341365,42.4072107,-71.3824374,16,#505050,124,14,<0.03,<0.03,0.25/4,<0.03,0.25,,2001,circle,D,<6,ERR069824,CNVR02000001-CNVR02000197,CNVR01000000,0,0
430772,42.4072107,-71.3824374,16,#505050,124,14,<0.03,<0.03,0.25/4,<0.03,0.25,,2001,circle,P,36-84,ERR065956,CIIR02000001-CIIR02000188,CIIR01000000,0,0
R34-3230,42.4072107,-71.3824374,16,#505050,124,14,0.06,<=0.25,<=0.25,<=0.06,<=0.50,2,2004,square,I,Jun-24,ERR069729,CNSD02000001-CNSD02000182,CNSD01000000,0,0
R34-3231,42.4072107,-71.3824374,16,#505050,124,14,0.06,<=0.25,<=0.25,<=0.06,<=0.50,2,2004,square,I,24-36,ERR069730,CNSU02000001-CNSU02000184,CNSU01000000,0,0
R34-3033,42.4072107,-71.3824374,16,#505050,568,31,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,2,2004,square,J,Jun-24,ERR065290,CNNK02000001-CNNK02000130,CNNK01000000,0,0
438180,42.4072107,-71.3824374,16,#505050,547,34,<0.03,<0.03,0.12/2,<0.03,0.25,,2001,circle,G,24-36,ERR065959,CNQA02000001-CNQA02000194,CNQA01000000,0,0
R34-3048,42.4072107,-71.3824374,16,#505050,547,34,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,2,2004,square,O,Jun-24,ERR065304,CNNV02000001-CNNV02000142,CNNV01000000,0,0
R34-3115,42.4072107,-71.3824374,16,#505050,547,34,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,2,2004,square,L,24-36,ERR068016,CNWK02000001-CNWK02000142,CNWK01000000,0,0
R34-3176,42.4072107,-71.3824374,16,#505050,1902,34,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,2,2004,square,M,24-36,ERR067975,CNQH02000001-CNQH02000237,CNQH01000000,0,0
304793,42.4072107,-71.3824374,16,#505050,447,37,<0.03,<0.03,0.12/2,<0.03,0.25,,2001,circle,J,36-84,ERR069815,CNUY02000001-CNUY02000166,CNUY01000000,0,0
147587,42.4072107,-71.3824374,16,#505050,393,38,0.06,<0.03,0.25/4,<0.03,0.25,,2001,circle,F,Jun-24,ERR069775,CNTR02000001-CNTR02000264,CNTR01000000,0,0
R34-3046,42.4072107,-71.3824374,16,#505050,393,38,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,<=1.00,2004,square,F,Jun-24,ERR065302,CNNN02000001-CNNN02000235,CNNN01000000,0,0
R34-3065,42.4072107,-71.3824374,16,#505050,393,38,0.25,<=0.25,<=0.25,<=0.06,<=0.50,2,2004,square,G,24-36,ERR065321,CNOJ02000001-CNOJ02000199,CNOJ01000000,0,0
