Sample	erythromycin
CFRL01000000	0
CHIR01000000	0
CFKB01000000	0
CNYE01000000	0
CNPB01000000	0
CNOS01000000	0
CNOU01000000	0
CIKP01000000	0
CHBH01000000	0
CNRC01000000	1
CNSG01000000	0
CNUI01000000	1
CNTX01000000	0
CFLL01000000	0
CHBM01000000	0
CNPO01000000	0
CNOW01000000	0
CNOZ01000000	0
CNOQ01000000	0
CNQP01000000	0
CNTL01000000	0
CNTA01000000	0
CNUO01000000	0
COAN01000000	0
CRYL01000000	0
COCV01000000	0
CFLY01000000	1
CODV01000000	0
COEL01000000	0
COFK01000000	0
CNXT01000000	0
CNXZ01000000	0
CNYP01000000	0
CNYT01000000	0
CNYU01000000	0
CNZA01000000	1
CIIT01000000	1
CHXC01000000	1
CHXJ01000000	0
CNNM01000000	0
CNOF01000000	0
CNOO01000000	0
CNVY01000000	0
CNWB01000000	0
CNWP01000000	0
CNNZ01000000	1
CNSZ01000000	1
CNSL01000000	0
COAL01000000	0
CHXB01000000	0
COCI01000000	0
COCD01000000	1
COCG01000000	0
COCQ01000000	0
COCS01000000	0
CODF01000000	0
CODJ01000000	0
CODM01000000	0
CODQ01000000	0
COEK01000000	0
COEP01000000	1
CHXN01000000	0
COFI01000000	1
CNYG01000000	0
CNYD01000000	0
CNYR01000000	1
CFJU01000000	0
CNZF01000000	0
CFQY01000000	0
CNZI01000000	0
CNZO01000000	0
CHBS01000000	0
CNZT01000000	0
CNZV01000000	0
COAG01000000	0
CNPL01000000	0
CNNL01000000	0
CNOL01000000	0
CNOV01000000	0
CNWN01000000	0
CNVX01000000	0
CNWG01000000	0
CNWT01000000	0
CNXA01000000	0
CNXR01000000	0
CNQO01000000	0
CNQN01000000	1
CNQC01000000	1
CNQS01000000	0
CNRW01000000	0
CNRY01000000	0
CNVO01000000	1
CNPK01000000	1
CNPU01000000	0
CODC01000000	0
CFQQ01000000	0
CNPF01000000	0
CFQL01000000	0
CNNO01000000	0
CNTB01000000	1
CNSE01000000	0
CHBL01000000	0
CNTU01000000	1
CNTW01000000	1
CNVT01000000	1
CIDS01000000	1
COCJ01000000	1
CNPD01000000	1
CNWF01000000	1
CFIP01000000	1
CNXG01000000	1
CNQL01000000	0
CHIO01000000	1
CNSA01000000	1
CHWV01000000	0
COBB01000000	0
COCZ01000000	0
CNYX01000000	0
CNSO01000000	1
CNSN01000000	1
CNSR01000000	1
CNTV01000000	1
CNVS01000000	0
CNPN01000000	1
COEM01000000	1
CHBU01000000	1
COAE01000000	1
CNQT01000000	1
CNQE01000000	1
CNQW01000000	1
COBR01000000	1
COAJ01000000	1
CFQT01000000	1
COBV01000000	1
COFD01000000	1
CNYW01000000	1
CNXV01000000	1
CNYL01000000	1
CNRR01000000	1
CFQW01000000	0
CNUA01000000	0
CNUB01000000	1
CHBN01000000	1
CNVP01000000	1
CNPT01000000	1
COBF01000000	1
CFRJ01000000	1
CNOD01000000	1
CHBQ01000000	1
CHBR01000000	1
CNWH01000000	1
CNXS01000000	1
CFRK01000000	1
CHBG01000000	1
CHWU01000000	1
CNSP01000000	0
CNSV01000000	0
CNVG01000000	0
COEV01000000	0
COFU01000000	0
CNVW01000000	0
CFLM01000000	0
CNWU01000000	0
CNRJ01000000	0
CNRH01000000	0
CNRP01000000	0
CNTO01000000	0
CNVB01000000	0
CNUV01000000	0
CNVR01000000	0
CIIR01000000	0
CNSD01000000	0
CNSU01000000	0
COCU01000000	0
COBA01000000	0
CODH01000000	0
COAC01000000	0
CNNK01000000	0
CNQA01000000	0
COAP01000000	0
COBK01000000	0
CNNV01000000	0
CNWK01000000	0
CNQH01000000	0
CNUY01000000	0
CODT01000000	0
CNTR01000000	0
COAO01000000	0
CFRF01000000	0
COEC01000000	0
COFC01000000	0
CNNN01000000	0
CNOJ01000000	0
CNXC01000000	0
CNUQ01000000	0
CNUP01000000	0
CNYA01000000	0
COAQ01000000	0
COET01000000	0
COEX01000000	0
CNYJ01000000	0
CNZD01000000	0
CNZM01000000	0
CNZY01000000	0
CNOH01000000	0
CHBP01000000	0
CFRB01000000	0
CNYS01000000	0
CIEC01000000	0
CNOE01000000	0
CNSF01000000	0
CHBK01000000	0
CNOG01000000	0
CNWR01000000	1
CHWS01000000	0
COBH01000000	0
COBN01000000	0
COBZ01000000	0
COCB01000000	0
COCR01000000	0
CODN01000000	0
CODL01000000	0
COFP01000000	0
COFY01000000	0
CNNS01000000	1
CFQP01000000	1
CNSS01000000	0
CNTY01000000	0
CNUL01000000	0
CFQS01000000	0
COAT01000000	0
COAW01000000	0
COCL01000000	0
COCK01000000	1
COFM01000000	0
CNOX01000000	0
CNNR01000000	0
CHIN01000000	0
CNWZ01000000	0
CFIQ01000000	0
CNQY01000000	0
CNQZ01000000	0
CNRV01000000	0
CNSJ01000000	1
CNTS01000000	1
CNUC01000000	1
CNVF01000000	1
CNTF01000000	0
COEZ01000000	1
CIEE01000000	0
CNYQ01000000	1
CNWQ01000000	0
CNQD01000000	0
CNPM01000000	0
CVKI01000000	0
CNRT01000000	0
CNSQ01000000	0
CNPC01000000	1
CNTD01000000	1
CNUM01000000	0
CNUW01000000	1
CFQU01000000	0
CNVK01000000	1
CNVN01000000	1
CNPY01000000	0
CHBE01000000	0
COAS01000000	0
COBJ01000000	0
COFE01000000	0
CNXY01000000	0
CNWO01000000	0
COAV01000000	0
COFA01000000	0
COBG01000000	0
CNTM01000000	0
CNPZ01000000	0
COEF01000000	0
CFJW01000000	0
COCP01000000	1
CNWW01000000	0
